ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13203059,JG413980,9/6/23 17:10,038XX W POLK ST,460,BATTERY,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,1133,11,24.0,26.0,08B,1150989.0,1896093.0,2023,9/14/23 15:43,41.87076952,-87.72113839,"(41.870769523, -87.721138394)"
13201861,JG413738,9/6/23 14:00,013XX E 72ND PL,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,324,3,8.0,43.0,7,1186461.0,1857200.0,2023,9/14/23 15:43,41.76327653,-87.59214149,"(41.763276531, -87.592141494)"
13203251,JG415441,9/6/23 20:26,052XX W GRAND AVE,820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,False,False,2515,25,36.0,19.0,6,1141191.0,1912901.0,2023,9/14/23 15:43,41.91707881,-87.75669596,"(41.917078812, -87.756695962)"
13205347,JG417375,9/6/23 22:30,028XX S PRAIRIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,133,1,4.0,35.0,14,1178513.0,1886018.0,2023,9/14/23 15:43,41.84253996,-87.62039608,"(41.842539961, -87.620396075)"
13202739,JG414876,9/6/23 18:00,064XX S CARPENTER ST,920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,RESIDENCE - YARD (FRONT / BACK),False,False,724,7,16.0,68.0,7,1170422.0,1862040.0,2023,9/14/23 15:43,41.7769223,-87.65078648,"(41.776922295, -87.650786477)"
13201883,JG413661,9/6/23 14:00,064XX N RIDGE BLVD,495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,NURSING / RETIREMENT HOME,False,False,2412,24,50.0,2.0,04B,1162579.0,1942878.0,2023,9/14/23 15:43,41.99891565,-87.67727301,"(41.998915651, -87.67727301)"
13203682,JG414837,9/6/23 17:00,046XX W DIVERSEY AVE,820,THEFT,$500 AND UNDER,DEPARTMENT STORE,False,False,2521,25,31.0,20.0,6,1144951.0,1918212.0,2023,9/14/23 15:43,41.93158252,-87.74274717,"(41.931582515, -87.742747165)"
13202769,JG413893,9/6/23 16:34,006XX W JACKSON BLVD,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,121,1,34.0,28.0,6,1172223.0,1898889.0,2023,9/14/23 15:43,41.87799992,-87.64309875,"(41.87799992, -87.643098749)"
13202504,JG414534,9/6/23 10:00,005XX E 33RD PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,211,2,4.0,35.0,14,1180708.0,1882808.0,2023,9/14/23 15:43,41.83368122,-87.61243999,"(41.83368122, -87.612439993)"
13202229,JG414285,9/6/23 23:00,026XX W 13TH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,False,True,1023,10,28.0,29.0,04A,1158791.0,1894033.0,2023,9/14/23 15:43,41.86496042,-87.6925509,"(41.864960415, -87.692550901)"
13201896,JG413878,9/6/23 16:30,059XX N WINTHROP AVE,560,ASSAULT,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,False,2022,20,48.0,77.0,08A,1167793.0,1939432.0,2023,9/14/23 15:43,41.98934853,-87.65819227,"(41.989348532, -87.658192271)"
